run,dataset,num_neighbors,removal,pqr,all_data_hamm_loss,all_data_zero_loss,removed_data_hamm_loss,removed_data_zero_loss
0,Family,5,0,0_0_0,0.282453245324532,1,,
0,Family,10,0,0_0_0,0.292354235423542,1,,
0,Family,15,0,0_0_0,0.285478547854785,1,,
0,Family,20,0,0_0_0,0.290704070407041,1,,
0,Family,25,0,0_0_0,0.282453245324532,1,,
0,Family,5,0,0_0_1,0.155390539053905,0.881188118811881,,
0,Family,10,0,0_0_1,0.157315731573157,0.900990099009901,,
0,Family,15,0,0_0_1,0.155940594059406,0.905940594059406,,
0,Family,20,0,0_0_1,0.157040704070407,0.910891089108911,,
0,Family,25,0,0_0_1,0.15951595159516,0.891089108910891,,
0,Family,5,0,0_1_0,0.148514851485149,0.881188118811881,,
0,Family,10,0,0_1_0,0.150990099009901,0.886138613861386,,
0,Family,15,0,0_1_0,0.153190319031903,0.886138613861386,,
0,Family,20,0,0_1_0,0.152640264026403,0.896039603960396,,
0,Family,25,0,0_1_0,0.154565456545655,0.886138613861386,,
0,Family,5,0,1_0_0,0.512376237623762,1,,
0,Family,10,0,1_0_0,0.505500550055005,1,,
0,Family,15,0,1_0_0,0.506050605060506,1,,
0,Family,20,0,1_0_0,0.521727172717272,1,,
0,Family,25,0,1_0_0,0.518976897689769,1,,
0,Family,5,0,1_1_1,0.661716171617162,1,,
0,Family,10,0,1_1_1,0.662541254125413,1,,
0,Family,15,0,1_1_1,0.678767876787679,1,,
0,Family,20,0,1_1_1,0.676017601760176,1,,
0,Family,25,0,1_1_1,0.664741474147415,1,,
0,Family,5,5,0_0_0,0.316831683168317,1,0.310606060606061,1
0,Family,10,5,0_0_0,0.327557755775578,1,0.325757575757576,1
0,Family,15,5,0_0_0,0.332233223322332,1,0.323232323232323,1
0,Family,20,5,0_0_0,0.329207920792079,1,0.323232323232323,1
0,Family,25,5,0_0_0,0.32975797579758,1,0.330808080808081,1
0,Family,5,5,0_0_1,0.176017601760176,0.96039603960396,0.202020202020202,1
0,Family,10,5,0_0_1,0.163916391639164,0.945544554455445,0.179292929292929,0.954545454545455
0,Family,15,5,0_0_1,0.158965896589659,0.920792079207921,0.179292929292929,0.954545454545455
0,Family,20,5,0_0_1,0.16034103410341,0.945544554455445,0.181818181818182,0.954545454545455
0,Family,25,5,0_0_1,0.163641364136414,0.920792079207921,0.176767676767677,1
0,Family,5,5,0_1_0,0.191694169416942,0.920792079207921,0.22979797979798,0.954545454545455
0,Family,10,5,0_1_0,0.176567656765677,0.910891089108911,0.212121212121212,0.954545454545455
0,Family,15,5,0_1_0,0.16996699669967,0.905940594059406,0.194444444444444,1
0,Family,20,5,0_1_0,0.17986798679868,0.915841584158416,0.23989898989899,1
