LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-clip-mean,RT-clip-mean
Grandson,0.6666666666666666,21.779171228408813,0.6666666666666666,13.820298910140991,0.6666666666666666,10.089106559753418
Mother,0.6666666666666666,15.34144639968872,0.6666666666666666,10.176243543624878,0.6666666666666666,10.155334711074829
Brother,0.6666666666666666,15.08277702331543,0.6666666666666666,10.136317014694214,0.6666666666666666,10.217469930648804
Father,0.6666666666666666,15.36312460899353,0.6666666666666666,10.118854522705078,0.6666666666666666,10.043073654174805
Grandgrandfather,0.6666666666666666,15.132071018218994,0.6666666666666666,10.130604028701782,0.6666666666666666,10.135393381118774
Grandson ⊔ (∃ hasSibling.(Female ⊓ (∀ married.Son))),0.3904382470119522,15.058984994888306,0.3904382470119522,10.089262247085571,0.3904382470119522,13.689035177230835
Grandson ⊔ (∃ hasSibling.(Parent ⊓ (¬Grandson))),0.5092250922509225,14.97493052482605,0.5092250922509225,10.09755253791809,0.5092250922509225,10.247057676315308
Grandson ⊔ (∃ hasSibling.(Grandmother ⊔ (∀ hasSibling.(¬Grandparent)))),0.6020761245674741,15.495573997497559,0.6020761245674741,10.287670373916626,0.6020761245674741,10.368020057678223
Brother ⊔ (∃ married.(Grandparent ⊓ (∃ married.(¬Granddaughter)))),0.6020761245674741,15.373499631881714,0.6020761245674741,10.10648488998413,0.6020761245674741,10.04577350616455
Parent ⊓ (∃ hasSibling.(¬Grandchild)),0.14678899082568805,15.034640789031982,0.14678899082568805,13.67624282836914,0.14678899082568805,10.036927223205566
