run,dataset,lambda_val,num_neighbors,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,0.0,1,Brother,0,0_0_0,0.13333333333333333,0.23529411764705882,1.0,0.8712871287128713,0.13333333333333333,,,,,
0,Family,0.0,2,Brother,0,0_0_0,0.1,0.18181818181818182,1.0,0.8663366336633663,0.1,,,,,
0,Family,0.0,3,Brother,0,0_0_0,0.1,0.18181818181818182,1.0,0.8663366336633663,0.1,,,,,
0,Family,0.0,4,Brother,0,0_0_0,0.1,0.18181818181818182,1.0,0.8663366336633663,0.1,,,,,
0,Family,0.0,5,Brother,0,0_0_0,0.1,0.18181818181818182,1.0,0.8663366336633663,0.1,,,,,
0,Family,0.0,6,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,7,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,8,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,9,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,10,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,11,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,12,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,13,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,14,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,15,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,16,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,17,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,18,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,19,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,20,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,21,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,22,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,23,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,24,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,25,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,26,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,27,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,28,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,29,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,30,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,31,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,32,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,33,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,34,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,35,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,36,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,37,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,38,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,39,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,40,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,41,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,42,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,43,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,44,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,45,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,46,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,47,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,48,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.0,49,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,1,Brother,0,0_0_0,0.1,0.18181818181818182,1.0,0.8663366336633663,0.1,,,,,
0,Family,0.1,2,Brother,0,0_0_0,0.03333333333333333,0.06451612903225806,1.0,0.8564356435643564,0.03333333333333333,,,,,
0,Family,0.1,3,Brother,0,0_0_0,0.03333333333333333,0.06451612903225806,1.0,0.8564356435643564,0.03333333333333333,,,,,
0,Family,0.1,4,Brother,0,0_0_0,0.03333333333333333,0.06451612903225806,1.0,0.8564356435643564,0.03333333333333333,,,,,
0,Family,0.1,5,Brother,0,0_0_0,0.1,0.18181818181818182,1.0,0.8663366336633663,0.1,,,,,
0,Family,0.1,6,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,7,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,8,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,9,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,10,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,11,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,12,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,13,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,14,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,15,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,16,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,17,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,18,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,19,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,20,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,21,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,22,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,23,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,24,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,25,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,26,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,27,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,28,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,29,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,30,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,31,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,32,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,33,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,34,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,35,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,36,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,37,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.1,38,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
