LP,F1-OCEL-cache,RT-OCEL-cache,F1-CELOE-cache,RT-CELOE-cache,F1-Evo-cache,RT-Evo-cache,F1-clip-cache,RT-clip-cache,F1-OCEL-no_cache,RT-OCEL-no_cache,F1-CELOE-no_cache,RT-CELOE-no_cache,F1-Evo-no_cache,RT-Evo-no_cache,F1-clip-no_cache,RT-clip-no_cache
Grandson,1.0,1.7964961528778076,1.0,0.43813633918762207,1.0,2.492051124572754,1.0,0.32831525802612305,1.0,0.2222146987915039,1.0,0.21234965324401855,1.0,1.5197436809539795,1.0,0.1377124786376953
Mother,1.0,0.002442598342895508,1.0,0.003073453903198242,1.0,2.25612211227417,1.0,0.002228260040283203,1.0,0.33205103874206543,1.0,0.0934133529663086,1.0,2.027381181716919,1.0,0.09506845474243164
Brother,1.0,0.0020084381103515625,1.0,0.0013513565063476562,0.9523809523809523,2.7327611446380615,1.0,0.001291036605834961,1.0,0.1849803924560547,1.0,0.16849756240844727,1.0,1.3962771892547607,1.0,0.07643556594848633
Father,1.0,0.002141237258911133,1.0,0.001421213150024414,1.0,2.5215461254119873,1.0,0.0017306804656982422,1.0,0.3859226703643799,1.0,0.10525131225585938,1.0,1.8955426216125488,1.0,0.09479856491088867
Grandgrandfather,1.0,15.450193643569946,1.0,0.7122969627380371,1.0,3.7048141956329346,1.0,0.7893972396850586,1.0,63.882919788360596,1.0,3.568894386291504,0.9444444444444444,1.5177586078643799,1.0,3.482614755630493
