LP,F1-OCEL-cache,RT-OCEL-cache,F1-CELOE-cache,RT-CELOE-cache,F1-Evo-cache,RT-Evo-cache,F1-clip-cache,RT-clip-cache,F1-OCEL-no_cache,RT-OCEL-no_cache,F1-CELOE-no_cache,RT-CELOE-no_cache,F1-Evo-no_cache,RT-Evo-no_cache,F1-clip-no_cache,RT-clip-no_cache
Grandson,1.0,1.4464502334594727,1.0,0.21312856674194336,0.9772727272727273,0.7883427143096924,1.0,0.3022489547729492,1.0,0.20264530181884766,1.0,0.12562990188598633,0.6666666666666666,0.600379228591919,1.0,0.20346975326538086
Mother,1.0,0.002341747283935547,1.0,0.001703500747680664,0.8571428571428571,0.8742110729217529,1.0,0.0015060901641845703,1.0,0.22484254837036133,1.0,0.1229712963104248,1.0,0.35085558891296387,1.0,0.08731341361999512
Brother,1.0,0.0015773773193359375,1.0,0.0011987686157226562,1.0,0.5263924598693848,1.0,0.0012760162353515625,1.0,0.15441393852233887,1.0,0.07191681861877441,0.8219178082191781,0.5973415374755859,1.0,0.06688809394836426
Father,1.0,0.002043008804321289,1.0,0.0014357566833496094,0.9375,0.7086591720581055,1.0,0.0015726089477539062,1.0,0.3888826370239258,1.0,0.09511637687683105,0.6666666666666666,0.6477725505828857,1.0,0.0988316535949707
Grandgrandfather,0.9444444444444444,60.04149413108826,0.9444444444444444,61.33318638801575,0.8292682926829268,0.6013264656066895,0.9444444444444444,61.19595980644226,0.9444444444444444,61.19070887565613,0.9444444444444444,61.04134011268616,0.9444444444444444,0.7601230144500732,0.9444444444444444,63.23231220245361
