LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,0.6865671641791045,16.787933349609375,1.0,10.235253095626831,1.0,11.368090629577637,1.0,10.189349889755249
Mother,0.3561643835616438,14.94995665550232,0.8571428571428571,10.106247186660767,1.0,4.960873126983643,0.8571428571428571,10.050774812698364
Brother,1.0,16.725653648376465,0.9523809523809523,10.155031442642212,1.0,10.198955059051514,0.9523809523809523,10.089492797851562
Father,0.8219178082191781,12.77537751197815,1.0,10.019882202148438,1.0,12.141099452972412,1.0,10.033257722854614
Grandgrandfather,0.7727272727272727,10.376728773117065,0.9444444444444444,10.043753147125244,0.9444444444444444,10.395297050476074,0.9444444444444444,10.069595098495483
Grandson ⊔ (∃ hasSibling.(Female ⊓ (∀ married.Son))),0.5822784810126582,16.93825912475586,0.9347826086956522,10.045132160186768,0.9347826086956522,10.38420295715332,0.9347826086956522,10.044704675674438
Grandson ⊔ (∃ hasSibling.(Parent ⊓ (¬Grandson))),0.7976878612716763,16.728776454925537,0.7976878612716763,10.043346166610718,0.8099173553719008,10.249125480651855,0.7976878612716763,10.150459051132202
Grandson ⊔ (∃ hasSibling.(Grandmother ⊔ (∀ hasSibling.(¬Grandparent)))),0.9109947643979057,12.578570127487183,0.9109947643979057,11.133669376373291,0.7050359712230214,9.746831178665161,0.9109947643979057,11.191921949386597
Brother ⊔ (∃ married.(Grandparent ⊓ (∃ married.(¬Granddaughter)))),0.8152866242038218,11.705812692642212,0.5263157894736842,10.079185485839844,0.7483870967741936,12.415164947509766,0.5263157894736842,10.07645559310913
Parent ⊓ (∃ hasSibling.(¬Grandchild)),0.6153846153846153,17.61795949935913,0.6666666666666667,10.26345157623291,0.7586206896551724,10.415014028549194,0.6666666666666667,10.161254167556763
