LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-clip-mean,RT-clip-mean
Grandson,0.6666666666666666,63.106029748916626,0.6666666666666666,27.243479251861572,0.6666666666666666,26.835148811340332
Mother,0.6666666666666666,53.94995141029358,0.6666666666666666,26.793537378311157,0.6666666666666666,26.651942014694214
Brother,0.6666666666666666,53.34846520423889,0.6666666666666666,26.842347383499146,0.6666666666666666,27.033819675445557
Father,0.6666666666666666,53.53684401512146,0.6666666666666666,26.72874617576599,0.6666666666666666,26.752477169036865
Grandgrandfather,0.6666666666666666,54.41411638259888,0.6666666666666666,27.185812950134277,0.6666666666666666,27.13815927505493
Grandson ⊔ (∃ hasSibling.(Female ⊓ (∀ married.Son))),0.3904382470119522,53.53082227706909,0.3904382470119522,27.706968545913696,0.3904382470119522,27.37440061569214
Grandson ⊔ (∃ hasSibling.(Parent ⊓ (¬Grandson))),0.5092250922509225,53.840242862701416,0.5092250922509225,26.951955556869507,0.5092250922509225,27.182791233062744
Grandson ⊔ (∃ hasSibling.(Grandmother ⊔ (∀ hasSibling.(¬Grandparent)))),0.6020761245674741,54.24430704116821,0.6020761245674741,27.04985737800598,0.6020761245674741,27.518048524856567
Brother ⊔ (∃ married.(Grandparent ⊓ (∃ married.(¬Granddaughter)))),0.6020761245674741,53.21017599105835,0.6020761245674741,26.461841344833374,0.6020761245674741,27.417232513427734
Parent ⊓ (∃ hasSibling.(¬Grandchild)),0.14678899082568805,53.807860136032104,0.14678899082568805,26.965328454971313,0.14678899082568805,27.14102339744568
