LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-clip-mean,RT-clip-mean
Grandson,0.7478260869565216,10.09705662727356,0.7478260869565216,13.544781923294067,0.7478260869565216,13.700128555297852
Mother,0.6666666666666666,10.232640027999878,0.6666666666666666,13.624393701553345,0.6666666666666666,10.043046951293945
Brother,0.6666666666666666,10.191618204116821,0.6666666666666666,11.506417036056519,0.6666666666666666,11.422678232192993
Father,0.8571428571428571,10.125489711761475,0.8571428571428571,11.553547620773315,0.8571428571428571,11.498544216156006
Grandgrandfather,0.6666666666666666,10.051544666290283,0.6666666666666666,13.758616209030151,0.6666666666666666,10.087199449539185
Grandson ⊔ (∃ hasSibling.(Female ⊓ (∀ married.Son))),0.4712041884816754,10.405650615692139,0.4712041884816754,11.595550298690796,0.4712041884816754,10.08847188949585
Grandson ⊔ (∃ hasSibling.(Parent ⊓ (¬Grandson))),0.5092250922509225,14.743261098861694,0.5497630331753555,13.9571373462677,0.5497630331753555,13.866083860397339
Grandson ⊔ (∃ hasSibling.(Grandmother ⊔ (∀ hasSibling.(¬Grandparent)))),0.6020761245674741,11.074260234832764,0.6113537117903931,13.889362812042236,0.6113537117903931,10.065798282623291
Brother ⊔ (∃ married.(Grandparent ⊓ (∃ married.(¬Granddaughter)))),0.6020761245674741,10.687103509902954,0.6020761245674741,10.370084285736084,0.6020761245674741,10.05138611793518
Parent ⊓ (∃ hasSibling.(¬Grandchild)),0.08860759493670886,10.403260707855225,0.08860759493670886,12.1176016330719,0.08860759493670886,12.239649057388306
