LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-clip-mean,RT-clip-mean
Grandson,0.6666666666666666,11.833191633224487,0.6666666666666666,34.761659145355225,0.6666666666666666,35.40650677680969
Mother,0.6666666666666666,11.969074487686157,0.6666666666666666,35.351258993148804,0.6666666666666666,35.38531470298767
Brother,0.6666666666666666,11.832261085510254,0.6666666666666666,34.91576552391052,0.6666666666666666,35.045238971710205
Father,0.6666666666666666,11.837477922439575,0.6666666666666666,35.111302852630615,0.6666666666666666,34.98576736450195
Grandgrandfather,0.6666666666666666,11.99425220489502,0.6666666666666666,35.723395586013794,0.6666666666666666,35.83727502822876
Grandson ⊔ (∃ hasSibling.(Female ⊓ (∀ married.Son))),0.3904382470119522,12.046633005142212,0.3904382470119522,35.32039666175842,0.3904382470119522,36.138954877853394
Grandson ⊔ (∃ hasSibling.(Parent ⊓ (¬Grandson))),0.5092250922509225,12.313796758651733,0.5092250922509225,36.50420784950256,0.5092250922509225,36.29262900352478
Grandson ⊔ (∃ hasSibling.(Grandmother ⊔ (∀ hasSibling.(¬Grandparent)))),0.6020761245674741,12.299056768417358,0.6020761245674741,36.13117456436157,0.6020761245674741,35.702635765075684
Brother ⊔ (∃ married.(Grandparent ⊓ (∃ married.(¬Granddaughter)))),0.6020761245674741,11.877723217010498,0.6020761245674741,36.23928952217102,0.6020761245674741,35.726648807525635
Parent ⊓ (∃ hasSibling.(¬Grandchild)),0.14678899082568805,12.003772258758545,0.14678899082568805,35.304935455322266,0.14678899082568805,35.446768045425415
