LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
Human ⊔ (LandArea ⊓ (∀ subregion.LandArea)),,,,,,,,,,,,
GeopoliticalArea ⊔ SaltWaterArea ⊔ (∃ member.Agent),,,,,,,,,,,,
Series ⊔ (∃ location.GeographicLocation),,,,,,,,,,,,
NaturalLanguage ⊔ (≥ 2 visitedPlaceOf.Woman),,,,,,,,,,,,
(GeographicArea ⊓ (Island ⊔ (∀ subregion⁻.StateOrProvince))) ⊔ (∃ subregion.⊤),,,,,,,,,,,,
Angel,,,,,,,,,,,,
Nation ⊔ (∃ visitedPlace.LandArea),,,,,,,,,,,,
Man ⊔ (∃ religiousBeliefOf.⊤),,,,,,,,,,,,
CitizenshipAttribute ⊔ SupernaturalRegion,,,,,,,,,,,,
ContentBearingObject ⊔ (Human ⊓ (SonOfGod ⊔ (∃ ethnicity.⊤))),,,,,,,,,,,,
