LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,1.0,0.20295023918151855,1.0,0.007566690444946289,1.0,0.037199974060058594,1.0,0.007527351379394531
Mother,1.0,0.004914045333862305,1.0,0.003208160400390625,1.0,0.04672551155090332,1.0,0.0038688182830810547
Brother,1.0,0.003770589828491211,1.0,0.0023012161254882812,1.0,0.03875589370727539,1.0,0.003899097442626953
Father,1.0,0.007607460021972656,1.0,0.004515886306762695,1.0,0.04732084274291992,1.0,0.002985715866088867
Grandgrandfather,1.0,3.1796679496765137,1.0,0.23917460441589355,0.9444444444444444,0.06628108024597168,1.0,0.23784995079040527
Grandgranddaughter,1.0,0.006944417953491211,1.0,0.0026645660400390625,1.0,0.03501701354980469,1.0,0.002782106399536133
Grandfather,1.0,0.0040476322174072266,1.0,0.0027687549591064453,1.0,0.038556575775146484,1.0,0.003161907196044922
PersonWithASibling,1.0,0.003873586654663086,1.0,0.002091646194458008,1.0,0.0666201114654541,1.0,0.0024213790893554688
Uncle,0.8941176470588235,60.747488498687744,0.9047619047619047,13.656471967697144,0.8837209302325582,0.08221316337585449,0.9382716049382717,60.372456789016724
Granddaughter,1.0,0.05329465866088867,1.0,0.006012916564941406,1.0,0.06728792190551758,1.0,0.010979175567626953
Brother ⊔ (∃ married.(Son ⊔ (∀ hasSibling.Parent))),0.9517684887459807,60.0166802406311,0.9498327759197325,60.42283868789673,0.9022988505747127,0.1269392967224121,0.9498327759197325,62.33455729484558
(Person ⊓ (Daughter ⊔ (∀ hasSibling.(¬Granddaughter)))) ⊔ (∃ married.(¬Person)),0.9866666666666666,61.50027585029602,0.9835164835164836,60.09562659263611,0.9560723514211887,0.09530782699584961,0.9835164835164836,60.28190898895264
Son ⊓ (∀ hasSibling.(¬Father)),1.0,19.269909381866455,1.0,0.5128858089447021,0.9052631578947368,0.07995104789733887,1.0,0.5196237564086914
Grandparent ⊓ (∃ hasSibling.(Grandmother ⊓ (∃ hasChild.Granddaughter))),0.8571428571428571,61.20001578330994,0.7499999999999999,61.64012360572815,0.5882352941176471,0.09256124496459961,0.7499999999999999,60.463982343673706
Sister ⊔ (∃ hasChild.Grandmother),0.8316831683168318,62.25910687446594,0.8349514563106796,60.449649810791016,0.8316831683168318,0.09522891044616699,0.8349514563106796,60.298131227493286
Father ⊓ (∃ married.(¬PersonWithASibling)),0.787878787878788,60.6937952041626,1.0,0.44493675231933594,0.787878787878788,0.30626368522644043,1.0,0.4120185375213623
Grandmother ⊔ (∀ married.Mother),1.0,0.6238517761230469,1.0,0.19132685661315918,0.9206349206349207,0.1404407024383545,1.0,0.16999387741088867
Brother ⊔ (∃ married.(Male ⊓ (∀ hasParent.(¬PersonWithASibling)))),0.875,60.810405254364014,0.9,60.79248070716858,0.8050847457627119,0.14200973510742188,0.9,60.902310848236084
Grandmother ⊔ (∀ hasSibling.Granddaughter),0.9625,60.19114065170288,0.9625,60.71517205238342,0.9625,0.10347294807434082,0.9625,60.7860586643219
Brother ⊔ (∃ married.(PersonWithASibling ⊓ (∀ hasChild.Parent))),0.6741573033707865,45.90153932571411,0.6741573033707865,60.148184061050415,0.6741573033707865,0.07193422317504883,0.6741573033707865,60.50195837020874
