LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,1.0,0.2018144130706787,1.0,0.01031494140625,1.0,0.03980398178100586,1.0,0.008240461349487305
Mother,1.0,0.0049936771392822266,1.0,0.003340005874633789,1.0,0.04495811462402344,1.0,0.0035381317138671875
Brother,1.0,0.0037360191345214844,1.0,0.0024611949920654297,1.0,0.04147171974182129,1.0,0.0024149417877197266
Father,1.0,0.004518032073974609,1.0,0.0027310848236083984,1.0,0.06052517890930176,1.0,0.004298686981201172
Grandgrandfather,1.0,3.1983048915863037,1.0,0.2365555763244629,0.9444444444444444,0.057701826095581055,1.0,0.24678421020507812
Grandgranddaughter,1.0,0.006958723068237305,1.0,0.002789735794067383,1.0,0.03476905822753906,1.0,0.0029404163360595703
Grandfather,1.0,0.005448341369628906,1.0,0.004362583160400391,1.0,0.04101419448852539,1.0,0.0031583309173583984
PersonWithASibling,1.0,0.003644704818725586,1.0,0.0021758079528808594,1.0,0.0460660457611084,1.0,0.0023856163024902344
Uncle,0.8941176470588235,61.540618658065796,0.9047619047619047,13.593101739883423,0.9382716049382717,0.12464642524719238,0.9382716049382717,60.17374777793884
Granddaughter,1.0,0.06564903259277344,1.0,0.0066106319427490234,1.0,0.05783891677856445,1.0,0.01024937629699707
Brother ⊔ (∃ married.(Son ⊔ (∀ hasSibling.Parent))),0.9517684887459807,60.01055669784546,0.9498327759197325,60.34288930892944,0.8746518105849582,0.11574029922485352,0.9498327759197325,60.06053066253662
(Person ⊓ (Daughter ⊔ (∀ hasSibling.(¬Granddaughter)))) ⊔ (∃ married.(¬Person)),0.9866666666666666,61.17010235786438,0.9835164835164836,60.10512590408325,0.9560723514211887,0.09396648406982422,0.9835164835164836,60.108269929885864
Son ⊓ (∀ hasSibling.(¬Father)),1.0,35.13687491416931,1.0,0.5343348979949951,0.9052631578947368,0.08470511436462402,1.0,0.5451335906982422
Grandparent ⊓ (∃ hasSibling.(Grandmother ⊓ (∃ hasChild.Granddaughter))),0.8571428571428571,37.75255990028381,0.7499999999999999,60.992265701293945,0.6153846153846153,0.09914350509643555,0.7499999999999999,60.804500341415405
Sister ⊔ (∃ hasChild.Grandmother),0.8316831683168318,61.06033253669739,0.8349514563106796,16.316181898117065,0.8316831683168318,0.08908224105834961,0.8349514563106796,60.44009733200073
Father ⊓ (∃ married.(¬PersonWithASibling)),1.0,27.470942974090576,1.0,0.472808837890625,0.787878787878788,0.08961987495422363,1.0,0.44472575187683105
Grandmother ⊔ (∀ married.Mother),1.0,0.6050875186920166,1.0,0.14779114723205566,0.8529411764705883,0.13761425018310547,1.0,0.1517484188079834
Brother ⊔ (∃ married.(Male ⊓ (∀ hasParent.(¬PersonWithASibling)))),0.875,60.45415234565735,0.9,62.14819574356079,0.7741935483870968,0.18144989013671875,0.9,61.100858211517334
Grandmother ⊔ (∀ hasSibling.Granddaughter),0.9625,60.29049348831177,0.9625,61.11670207977295,0.9021739130434783,0.08857035636901855,0.9625,61.51222252845764
Brother ⊔ (∃ married.(PersonWithASibling ⊓ (∀ hasChild.Parent))),0.6741573033707865,60.98527765274048,0.7642276422764227,60.428197383880615,0.6741573033707865,0.0525670051574707,0.7642276422764227,60.495930433273315
