LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,1.0,0.15720891952514648,1.0,0.006890296936035156,1.0,0.039147377014160156,1.0,0.007314920425415039
Mother,1.0,0.007057905197143555,1.0,0.00371551513671875,1.0,0.040435791015625,1.0,0.003358125686645508
Brother,1.0,0.0035524368286132812,1.0,0.002187967300415039,1.0,0.039549827575683594,1.0,0.002178668975830078
Father,1.0,0.004750728607177734,1.0,0.002520322799682617,1.0,0.042176008224487305,1.0,0.0027015209197998047
Grandgrandfather,1.0,2.6864657402038574,1.0,0.21960234642028809,0.9444444444444444,0.055005788803100586,1.0,0.21210885047912598
Grandgranddaughter,1.0,0.006737947463989258,1.0,0.002628326416015625,1.0,0.03589057922363281,1.0,0.0026311874389648438
Grandfather,1.0,0.00424957275390625,1.0,0.002348184585571289,1.0,0.039793968200683594,1.0,0.002386808395385742
PersonWithASibling,1.0,0.003439664840698242,1.0,0.002276182174682617,1.0,0.0406191349029541,1.0,0.002564668655395508
Uncle,0.8941176470588235,62.44004964828491,0.9047619047619047,11.068928718566895,0.9382716049382717,0.08873844146728516,0.9382716049382717,60.146723985672
Granddaughter,1.0,0.05480146408081055,1.0,0.005510568618774414,1.0,0.04121541976928711,1.0,0.007820606231689453
Brother ⊔ (∃ married.(Son ⊔ (∀ hasSibling.Parent))),0.9517684887459807,43.208083391189575,0.9498327759197325,4.718221664428711,0.9022988505747127,0.07864999771118164,0.9498327759197325,4.688573598861694
(Person ⊓ (Daughter ⊔ (∀ hasSibling.(¬Granddaughter)))) ⊔ (∃ married.(¬Person)),0.981132075471698,19.42826747894287,0.9835164835164836,4.583616018295288,0.9560723514211887,0.06725025177001953,0.9835164835164836,4.766567707061768
Son ⊓ (∀ hasSibling.(¬Father)),1.0,18.252551317214966,1.0,0.3721046447753906,0.9052631578947368,0.07396817207336426,1.0,0.383450984954834
Grandparent ⊓ (∃ hasSibling.(Grandmother ⊓ (∃ hasChild.Granddaughter))),0.8571428571428571,27.63681721687317,0.7499999999999999,60.425761222839355,0.8571428571428571,0.07834601402282715,0.7499999999999999,60.29550552368164
Sister ⊔ (∃ hasChild.Grandmother),0.8316831683168318,61.53639554977417,0.8349514563106796,60.1706383228302,0.8316831683168318,0.07085895538330078,0.8349514563106796,61.050456047058105
Father ⊓ (∃ married.(¬PersonWithASibling)),1.0,20.884196996688843,1.0,0.3233520984649658,0.787878787878788,0.06436276435852051,1.0,0.32297635078430176
Grandmother ⊔ (∀ married.Mother),1.0,0.40645766258239746,1.0,0.11026954650878906,1.0,0.10219836235046387,1.0,0.10976505279541016
Brother ⊔ (∃ married.(Male ⊓ (∀ hasParent.(¬PersonWithASibling)))),0.875,60.26158094406128,0.9,60.01145625114441,0.8622222222222222,0.0979151725769043,0.9,60.3398802280426
Grandmother ⊔ (∀ hasSibling.Granddaughter),0.9625,60.19427847862244,0.9625,60.34919309616089,0.9021739130434783,0.06330394744873047,0.9625,60.494952917099
Brother ⊔ (∃ married.(PersonWithASibling ⊓ (∀ hasChild.Parent))),0.6741573033707865,41.27145338058472,0.6741573033707865,60.256869077682495,0.6741573033707865,0.06931662559509277,0.6741573033707865,60.2482476234436
