LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,1.0,0.19155454635620117,1.0,0.00774693489074707,1.0,0.04957985877990723,1.0,0.008093595504760742
Mother,1.0,0.005087852478027344,1.0,0.003256082534790039,1.0,0.06090497970581055,1.0,0.003507375717163086
Brother,1.0,0.0037648677825927734,1.0,0.0028743743896484375,1.0,0.07326126098632812,1.0,0.004128456115722656
Father,1.0,0.0045909881591796875,1.0,0.002635478973388672,1.0,0.046726226806640625,1.0,0.002795696258544922
Grandgrandfather,1.0,3.1869194507598877,1.0,0.24025821685791016,0.9444444444444444,0.05804562568664551,1.0,0.23223257064819336
Grandgranddaughter,1.0,0.008294820785522461,1.0,0.0028905868530273438,1.0,0.03624224662780762,1.0,0.002927064895629883
Grandfather,1.0,0.004645586013793945,1.0,0.002697467803955078,1.0,0.03856682777404785,1.0,0.0028040409088134766
PersonWithASibling,1.0,0.0036725997924804688,1.0,0.0022706985473632812,1.0,0.04475569725036621,1.0,0.002413511276245117
Uncle,0.8941176470588235,63.899545192718506,0.9047619047619047,14.362357378005981,0.8837209302325582,0.10482478141784668,0.9382716049382717,60.07567024230957
Granddaughter,1.0,0.0564119815826416,1.0,0.006696462631225586,1.0,0.05843949317932129,1.0,0.01053762435913086
Brother ⊔ (∃ married.(Son ⊔ (∀ hasSibling.Parent))),0.9517684887459807,58.81527876853943,0.9738562091503268,60.39329242706299,0.900900900900901,0.11117696762084961,0.9738562091503268,60.110344648361206
(Person ⊓ (Daughter ⊔ (∀ hasSibling.(¬Granddaughter)))) ⊔ (∃ married.(¬Person)),0.9866666666666666,63.11267375946045,0.9835164835164836,60.35064768791199,0.9807162534435263,0.32883524894714355,0.9835164835164836,60.37270736694336
Son ⊓ (∀ hasSibling.(¬Father)),1.0,19.4317364692688,1.0,0.5778343677520752,0.9052631578947368,0.0801088809967041,1.0,0.490628719329834
Grandparent ⊓ (∃ hasSibling.(Grandmother ⊓ (∃ hasChild.Granddaughter))),0.8571428571428571,60.037038803100586,0.7499999999999999,60.44995617866516,0.5882352941176471,0.09284138679504395,0.7499999999999999,60.327861309051514
Sister ⊔ (∃ hasChild.Grandmother),0.8316831683168318,61.42609095573425,0.8349514563106796,60.132328510284424,0.7428571428571429,0.1145944595336914,0.8349514563106796,60.10027265548706
Father ⊓ (∃ married.(¬PersonWithASibling)),0.787878787878788,63.02421593666077,1.0,0.48299074172973633,0.787878787878788,0.093109130859375,1.0,0.39804768562316895
Grandmother ⊔ (∀ married.Mother),1.0,0.6397032737731934,1.0,0.16222548484802246,0.9063670411985019,0.4324002265930176,1.0,0.1457059383392334
Brother ⊔ (∃ married.(Male ⊓ (∀ hasParent.(¬PersonWithASibling)))),0.875,60.332932472229004,0.9,5.757614850997925,0.8749999999999999,0.11318731307983398,0.9,5.820851564407349
Grandmother ⊔ (∀ hasSibling.Granddaughter),0.9625,62.40542411804199,1.0,6.123873233795166,0.9021739130434783,0.1238698959350586,1.0,5.957387208938599
Brother ⊔ (∃ married.(PersonWithASibling ⊓ (∀ hasChild.Parent))),0.6741573033707865,57.63663625717163,0.6741573033707865,60.65331196784973,0.7642276422764227,0.11449575424194336,0.6741573033707865,60.471808195114136
