LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,0.5217391304347826,18.909921646118164,0.0,10.065792322158813,0.8865979381443299,10.174957752227783,0.0,10.192464828491211
Mother,0.7058823529411764,10.553566217422485,0.31111111111111117,10.027150630950928,0.5507246376811593,6.1090452671051025,0.31111111111111117,10.01915717124939
Brother,0.8333333333333333,12.263547658920288,0.0,10.108252048492432,0.43999999999999995,4.25524377822876,0.0,10.077183485031128
Father,0.8219178082191781,15.081437110900879,0.8219178082191781,10.030756711959839,0.5846153846153846,7.431312799453735,0.8219178082191781,10.017576456069946
Grandgrandfather,0.7727272727272727,11.23952031135559,0.6938775510204082,10.116318464279175,0.3846153846153846,7.905817985534668,0.6938775510204082,10.02440881729126
Grandson ⊔ (∃ hasSibling.(Female ⊓ (∀ married.Son))),0.1395348837209302,13.08853268623352,0.6405228758169934,10.290376663208008,0.3904382470119522,5.25158166885376,0.6405228758169934,10.10946536064148
Grandson ⊔ (∃ hasSibling.(Parent ⊓ (¬Grandson))),0.7976878612716763,23.417081832885742,0.7976878612716763,10.12231993675232,0.5092250922509225,7.94809365272522,0.7976878612716763,10.06998324394226
Grandson ⊔ (∃ hasSibling.(Grandmother ⊔ (∀ hasSibling.(¬Grandparent)))),0.7945205479452054,11.273585557937622,0.6263736263736264,10.436497926712036,0.5151515151515151,10.68555212020874,0.6263736263736264,10.493427515029907
Brother ⊔ (∃ married.(Grandparent ⊓ (∃ married.(¬Granddaughter)))),0.5726872246696035,10.674174070358276,0.6956521739130435,10.057799577713013,0.6956521739130435,5.59952187538147,0.6956521739130435,10.050628423690796
Parent ⊓ (∃ hasSibling.(¬Grandchild)),0.3636363636363636,17.562544345855713,0.6818181818181818,10.007012128829956,0.27450980392156865,5.58644962310791,0.6818181818181818,10.027898073196411
