run,dataset,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,Brother,0,0_0_0,0.8,0.8888888888888888,1.0,0.9702970297029703,0.8,,,,,
0,Family,Brother,0,0_0_1,1.0,0.6741573033707865,0.5084745762711864,0.8564356435643564,0.5084745762711864,,,,,
0,Family,Brother,0,0_1_0,1.0,0.5882352941176471,0.4166666666666667,0.7920792079207921,0.4166666666666667,,,,,
0,Family,Brother,0,1_0_0,1.0,0.3191489361702128,0.189873417721519,0.36633663366336633,0.189873417721519,,,,,
0,Family,Brother,0,1_1_1,0.8666666666666667,0.40310077519379844,0.26262626262626265,0.6188118811881188,0.2524271844660194,,,,,
0,Family,Brother,5,0_0_0,0.7333333333333333,0.8461538461538461,1.0,0.9603960396039604,0.7333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,5,0_0_1,1.0,0.7407407407407407,0.5882352941176471,0.8960396039603961,0.5882352941176471,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,5,0_1_0,1.0,0.6122448979591837,0.4411764705882353,0.8118811881188119,0.4411764705882353,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,5,1_0_0,1.0,0.31413612565445026,0.18633540372670807,0.35148514851485146,0.18633540372670807,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,5,1_1_1,0.23333333333333334,0.2028985507246377,0.1794871794871795,0.7277227722772277,0.11290322580645161,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,10,0_0_0,0.6666666666666666,0.8,1.0,0.9504950495049505,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,10,0_0_1,0.9333333333333333,0.7088607594936709,0.5714285714285714,0.8861386138613861,0.5490196078431373,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333
0,Family,Brother,10,0_1_0,0.9666666666666667,0.5686274509803921,0.4027777777777778,0.7821782178217822,0.3972602739726027,0.6666666666666666,0.8,1.0,0.6666666666666666,0.6666666666666666
0,Family,Brother,10,1_0_0,1.0,0.2926829268292683,0.17142857142857143,0.28217821782178215,0.17142857142857143,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,10,1_1_1,0.2,0.17391304347826086,0.15384615384615385,0.7178217821782178,0.09523809523809523,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,15,0_0_0,0.7666666666666667,0.8679245283018868,1.0,0.9653465346534653,0.7666666666666667,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,15,0_0_1,0.9666666666666667,0.5686274509803921,0.4027777777777778,0.7821782178217822,0.3972602739726027,0.75,0.8571428571428571,1.0,0.75,0.75
0,Family,Brother,15,0_1_0,0.9333333333333333,0.4375,0.2857142857142857,0.6435643564356436,0.28,0.5,0.6666666666666666,1.0,0.5,0.5
0,Family,Brother,15,1_0_0,1.0,0.31746031746031744,0.18867924528301888,0.3613861386138614,0.18867924528301888,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,15,1_1_1,0.9333333333333333,0.3393939393939394,0.2074074074074074,0.4603960396039604,0.20437956204379562,0.75,0.8571428571428571,1.0,0.75,0.75
0,Family,Brother,20,0_0_0,0.6,0.75,1.0,0.9405940594059405,0.6,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,20,0_0_1,0.9333333333333333,0.6746987951807228,0.5283018867924528,0.8663366336633663,0.509090909090909,0.6666666666666666,0.8,1.0,0.6666666666666666,0.6666666666666666
0,Family,Brother,20,0_1_0,0.9666666666666667,0.6304347826086957,0.46774193548387094,0.8316831683168316,0.4603174603174603,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.8333333333333334
0,Family,Brother,20,1_0_0,1.0,0.31413612565445026,0.18633540372670807,0.35148514851485146,0.18633540372670807,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,20,1_1_1,1.0,0.2702702702702703,0.15625,0.19801980198019803,0.15625,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,25,0_0_0,0.6,0.75,1.0,0.9405940594059405,0.6,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,25,0_0_1,0.9333333333333333,0.6086956521739131,0.45161290322580644,0.8217821782178217,0.4375,0.7142857142857143,0.8333333333333334,1.0,0.7142857142857143,0.7142857142857143
0,Family,Brother,25,0_1_0,0.9333333333333333,0.6746987951807228,0.5283018867924528,0.8663366336633663,0.509090909090909,0.7142857142857143,0.8333333333333334,1.0,0.7142857142857143,0.7142857142857143
0,Family,Brother,25,1_0_0,1.0,0.3,0.17647058823529413,0.3069306930693069,0.17647058823529413,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,25,1_1_1,1.0,0.3409090909090909,0.2054794520547945,0.42574257425742573,0.2054794520547945,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,30,0_0_0,0.5666666666666667,0.723404255319149,1.0,0.9356435643564357,0.5666666666666667,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,30,0_0_1,0.9333333333333333,0.7466666666666667,0.6222222222222222,0.905940594059406,0.5957446808510638,0.7777777777777778,0.875,1.0,0.7777777777777778,0.7777777777777778
0,Family,Brother,30,0_1_0,0.9,0.6585365853658537,0.5192307692307693,0.8613861386138614,0.4909090909090909,0.6666666666666666,0.8,1.0,0.6666666666666666,0.6666666666666666
0,Family,Brother,30,1_0_0,1.0,0.28169014084507044,0.16393442622950818,0.24257425742574257,0.16393442622950818,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,30,1_1_1,1.0,0.37037037037037035,0.22727272727272727,0.49504950495049505,0.22727272727272727,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,35,0_0_0,0.5333333333333333,0.6956521739130435,1.0,0.9306930693069307,0.5333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,35,0_0_1,0.9666666666666667,0.8055555555555556,0.6904761904761905,0.9306930693069307,0.6744186046511628,0.9,0.9473684210526315,1.0,0.9,0.9
0,Family,Brother,35,0_1_0,0.9,0.6666666666666666,0.5294117647058824,0.8663366336633663,0.5,0.7,0.8235294117647058,1.0,0.7,0.7
0,Family,Brother,35,1_0_0,1.0,0.28169014084507044,0.16393442622950818,0.24257425742574257,0.16393442622950818,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,35,1_1_1,1.0,0.37267080745341613,0.22900763358778625,0.5,0.22900763358778625,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,40,0_0_0,0.5,0.6666666666666666,1.0,0.9257425742574258,0.5,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,40,0_0_1,0.9,0.782608695652174,0.6923076923076923,0.9257425742574258,0.6428571428571429,0.75,0.8571428571428571,1.0,0.75,0.75
0,Family,Brother,40,0_1_0,0.9,0.6835443037974683,0.5510204081632653,0.8762376237623762,0.5192307692307693,0.75,0.8571428571428571,1.0,0.75,0.75
