run,dataset,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,Brother,0,0_0_0,0.7333333333333333,0.8461538461538461,1.0,0.9603960396039604,0.7333333333333333,,,,,
0,Family,Brother,0,0_0_1,1.0,0.6666666666666666,0.5,0.8514851485148515,0.5,,,,,
0,Family,Brother,0,0_1_0,1.0,0.6382978723404256,0.46875,0.8316831683168316,0.46875,,,,,
0,Family,Brother,0,1_0_0,1.0,0.27149321266968324,0.15706806282722513,0.20297029702970298,0.15706806282722513,,,,,
0,Family,Brother,0,1_1_1,0.0,0.0,0.0,0.7475247524752475,0.0,,,,,
0,Family,Brother,5,0_0_0,0.7333333333333333,0.8461538461538461,1.0,0.9603960396039604,0.7333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,5,0_0_1,1.0,0.6521739130434783,0.4838709677419355,0.8415841584158416,0.4838709677419355,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,5,0_1_0,1.0,0.6521739130434783,0.4838709677419355,0.8415841584158416,0.4838709677419355,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,5,1_0_0,1.0,0.27149321266968324,0.15706806282722513,0.20297029702970298,0.15706806282722513,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,5,1_1_1,0.0,0.0,0.0,0.7574257425742574,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,10,0_0_0,0.6333333333333333,0.7755102040816326,1.0,0.9455445544554455,0.6333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,10,0_0_1,1.0,0.6666666666666666,0.5,0.8514851485148515,0.5,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,10,0_1_0,1.0,0.6521739130434783,0.4838709677419355,0.8415841584158416,0.4838709677419355,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,10,1_0_0,1.0,0.273972602739726,0.15873015873015872,0.21287128712871287,0.15873015873015872,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,10,1_1_1,0.0,0.0,0.0,0.5346534653465347,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,15,0_0_0,0.6666666666666666,0.8,1.0,0.9504950495049505,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,15,0_0_1,1.0,0.6666666666666666,0.5,0.8514851485148515,0.5,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,15,0_1_0,1.0,0.6818181818181818,0.5172413793103449,0.8613861386138614,0.5172413793103449,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,15,1_0_0,1.0,0.27149321266968324,0.15706806282722513,0.20297029702970298,0.15706806282722513,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,15,1_1_1,0.0,0.0,0.0,0.7871287128712872,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,20,0_0_0,0.43333333333333335,0.6046511627906976,1.0,0.9158415841584159,0.43333333333333335,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,20,0_0_1,0.9,0.5454545454545454,0.391304347826087,0.7772277227722773,0.375,0.5,0.6666666666666666,1.0,0.5,0.5
0,Family,Brother,20,0_1_0,0.9,0.6923076923076923,0.5625,0.8811881188118812,0.5294117647058824,0.5,0.6666666666666666,1.0,0.5,0.5
0,Family,Brother,20,1_0_0,1.0,0.35294117647058826,0.21428571428571427,0.45544554455445546,0.21428571428571427,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,20,1_1_1,0.0,0.0,0.0,0.7722772277227723,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,25,0_0_0,0.43333333333333335,0.6046511627906976,1.0,0.9158415841584159,0.43333333333333335,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,25,0_0_1,0.9,0.5510204081632653,0.39705882352941174,0.7821782178217822,0.38028169014084506,0.5714285714285714,0.7272727272727273,1.0,0.5714285714285714,0.5714285714285714
0,Family,Brother,25,0_1_0,0.9,0.7105263157894737,0.5869565217391305,0.8910891089108911,0.5510204081632653,0.5714285714285714,0.7272727272727273,1.0,0.5714285714285714,0.5714285714285714
0,Family,Brother,25,1_0_0,1.0,0.31746031746031744,0.18867924528301888,0.3613861386138614,0.18867924528301888,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,25,1_1_1,0.0,0.0,0.0,0.7623762376237624,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,30,0_0_0,0.3333333333333333,0.5,1.0,0.900990099009901,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,30,0_0_1,0.9333333333333333,0.5714285714285714,0.4117647058823529,0.7920792079207921,0.4,0.7777777777777778,0.875,1.0,0.7777777777777778,0.7777777777777778
0,Family,Brother,30,0_1_0,0.9333333333333333,0.717948717948718,0.5833333333333334,0.8910891089108911,0.56,0.7777777777777778,0.875,1.0,0.7777777777777778,0.7777777777777778
0,Family,Brother,30,1_0_0,1.0,0.31088082901554404,0.18404907975460122,0.3415841584158416,0.18404907975460122,1.0,1.0,1.0,1.0,1.0
