run,dataset,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,Brother,0,0_0_0,0.0666666666666667,0.125,1,0.861386138613861,0.0666666666666667,,,,,
0,Family,Brother,0,0_0_1,1,0.705882352941176,0.545454545454545,0.876237623762376,0.545454545454545,,,,,
0,Family,Brother,0,0_1_0,1,0.882352941176471,0.789473684210526,0.96039603960396,0.789473684210526,,,,,
0,Family,Brother,0,1_0_0,1,0.28436018957346,0.165745856353591,0.252475247524752,0.165745856353591,,,,,
0,Family,Brother,0,1_1_1,0.333333333333333,0.130718954248366,0.0813008130081301,0.341584158415842,0.0699300699300699,,,,,
0,Family,Brother,5,0_0_0,0.0666666666666667,0.125,1,0.861386138613861,0.0666666666666667,0,0,0,0,0
0,Family,Brother,5,0_0_1,1,0.731707317073171,0.576923076923077,0.891089108910891,0.576923076923077,1,1,1,1,1
0,Family,Brother,5,0_1_0,0.966666666666667,0.852941176470588,0.763157894736842,0.95049504950495,0.743589743589744,0,0,0,0,0
0,Family,Brother,5,1_0_0,1,0.285714285714286,0.166666666666667,0.257425742574257,0.166666666666667,1,1,1,1,1
0,Family,Brother,5,1_1_1,0.366666666666667,0.147651006711409,0.092436974789916,0.371287128712871,0.0797101449275362,1,1,1,1,1
0,Family,Brother,10,0_0_0,0.1,0.181818181818182,1,0.866336633663366,0.1,0,0,0,0,0
0,Family,Brother,10,0_0_1,1,0.789473684210526,0.652173913043478,0.920792079207921,0.652173913043478,1,1,1,1,1
0,Family,Brother,10,0_1_0,0.933333333333333,0.835820895522388,0.756756756756757,0.945544554455445,0.717948717948718,0.333333333333333,0.5,1,0.333333333333333,0.333333333333333
0,Family,Brother,10,1_0_0,1,0.285714285714286,0.166666666666667,0.257425742574257,0.166666666666667,1,1,1,1,1
0,Family,Brother,10,1_1_1,0.3,0.133333333333333,0.0857142857142857,0.420792079207921,0.0714285714285714,1,1,1,1,1
0,Family,Brother,15,0_0_0,0,0,0,0.851485148514851,0,0,0,0,0,0
0,Family,Brother,15,0_0_1,0.933333333333333,0.811594202898551,0.717948717948718,0.935643564356436,0.682926829268293,0.5,0.666666666666667,1,0.5,0.5
0,Family,Brother,15,0_1_0,0.966666666666667,0.840579710144927,0.743589743589744,0.945544554455445,0.725,0.75,0.857142857142857,1,0.75,0.75
0,Family,Brother,15,1_0_0,1,0.295566502463054,0.173410404624277,0.292079207920792,0.173410404624277,1,1,1,1,1
0,Family,Brother,15,1_1_1,0.166666666666667,0.196078431372549,0.238095238095238,0.797029702970297,0.108695652173913,0,0,0,0,0
