LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
FixedHoliday ⊔ Man ⊔ Region,,,,,,,,,,,,
Tribe ⊔ (∃ subregion.(∃ visitedPlaceOf.Object)),,,,,,,,,,,,
